C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 20/10/2023, 9:52:30, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 20/10/2023, 9:52:42, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 20/10/2023, 18:41:59, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 20/10/2023, 18:41:59, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 21/10/2023, 9:43:03, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 21/10/2023, 9:43:08, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 21/10/2023, 20:58:52, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 21/10/2023, 20:58:52, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 24/10/2023, 12:59:05, Usuario, Abierto
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 24/10/2023, 12:59:19, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROALOJADAENOTROARCHIVO.xlsm, 24/10/2023, 12:59:20, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 24/10/2023, 12:59:23, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROALOJADAENOTROARCHIVO.xlsm, 24/10/2023, 12:59:23, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 24/10/2023, 12:59:36, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\Excel\Curso-m.xlsm, 24/10/2023, 12:59:36, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 24/10/2023, 12:59:40, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\Excel\Curso-m.xlsm, 24/10/2023, 12:59:40, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 24/10/2023, 12:59:44, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\Excel\Curso.xlsx, 24/10/2023, 12:59:44, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 24/10/2023, 12:59:57, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\Excel\Curso.xlsx, 24/10/2023, 12:59:57, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 24/10/2023, 16:54:09, Usuario, Abierto
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 25/10/2023, 8:06:38, Usuario, Abierto
C:\Users\Usuario\Downloads\ASME_Student_Group_Membership_Spreadsheet.xls, 25/10/2023, 8:06:38, Usuario, Abierto
C:\Users\Usuario\Downloads\Alumnos del primer y segundo ciclo.xlsx, 25/10/2023, 8:06:51, Usuario, Abierto
C:\Users\Usuario\Downloads\alumnos.xlsx, 25/10/2023, 8:18:03, Usuario, Abierto
C:\Users\Usuario\Downloads\alumnos.xlsx, 25/10/2023, 10:05:59, Usuario, Cerrado
C:\Users\Usuario\Downloads\Alumnos del primer y segundo ciclo.xlsx, 25/10/2023, 10:06:01, Usuario, Cerrado
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 25/10/2023, 10:06:16, Usuario, Cerrado
C:\Users\Usuario\Downloads\ASME_Student_Group_Membership_Spreadsheet_1.xls, 25/10/2023, 10:06:16, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 25/10/2023, 10:07:18, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 25/10/2023, 17:54:23, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\Herramientas Power Excel\CursoPower.xlsx, 25/10/2023, 17:54:25, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 25/10/2023, 17:57:05, Usuario, Abierto
C:\Users\Usuario\Downloads\33333333333333333333333\Datos Píldoras.csv, 25/10/2023, 17:57:05, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 25/10/2023, 17:57:11, Usuario, Cerrado
C:\Users\Usuario\Downloads\33333333333333333333333\Datos Píldoras.csv, 25/10/2023, 17:57:11, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 25/10/2023, 17:57:55, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\Herramientas Power Excel\CursoPower.xlsx, 25/10/2023, 17:58:03, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 25/10/2023, 18:30:13, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\Herramientas Power Excel\CursoPower.xlsx, 25/10/2023, 18:30:13, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 26/10/2023, 8:35:47, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\Herramientas Power Excel\CursoPower.xlsx, 26/10/2023, 8:35:55, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 26/10/2023, 8:36:00, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\Herramientas Power Excel\CursoPower.xlsx, 26/10/2023, 8:36:00, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 26/10/2023, 8:36:05, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\Herramientas Power Excel\CursoPower.xlsx, 26/10/2023, 8:36:13, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\Herramientas Power Excel\Datos Píldoras b.csv, 26/10/2023, 9:22:27, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\Herramientas Power Excel\Datos Píldoras b.csv, 26/10/2023, 9:22:46, Usuario, Cerrado
Libro1, 26/10/2023, 9:23:33, Usuario, Cerrado
C:\Users\Usuario\Downloads\33333333333333333333333\Trimestres.xlsx, 26/10/2023, 9:25:22, Usuario, Abierto
C:\Users\Usuario\Downloads\33333333333333333333333\Trimestres.xlsx, 26/10/2023, 9:25:29, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\Herramientas Power Excel\Trimestres.xlsx, 26/10/2023, 11:23:31, Usuario, Abierto
C:\Users\Usuario\Downloads\33333333333333333333333\Datos trim 1\Datos Píldoras c.csv, 26/10/2023, 12:06:36, Usuario, Abierto
C:\Users\Usuario\Downloads\33333333333333333333333\Datos trim 1\Datos Píldoras c.csv, 26/10/2023, 12:06:38, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\Herramientas Power Excel\Datos a tratar.xlsx, 26/10/2023, 12:16:36, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\Herramientas Power Excel\Datos a tratar.xlsx, 26/10/2023, 12:16:46, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\Herramientas Power Excel\Trimestres.xlsx, 26/10/2023, 12:18:23, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\Herramientas Power Excel\Datos a tratar.xlsx, 26/10/2023, 12:26:45, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\Herramientas Power Excel\CursoPower.xlsx, 26/10/2023, 18:16:44, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 27/10/2023, 9:31:37, Usuario, Abierto
